名称,(角色技能行动点花费)skillCharge,ID,skillcardUseNum,价值,伤害,初始生命上限,初始血量,图片,子牌/母牌,子牌归属触发效果,战斗牌/法术牌,技能描述,注释,等级
皮肉,2,0,,10,2,4,4,,母牌,,战斗牌,主动：后两次受到攻击获得50%免伤持续3回合,,1
精灵,2,1,,10,2,4,4,,母牌,,战斗牌,主动：指定敌方的某出战卡造成1真实伤害并回复1滴血,,1
转移,,1005,1,10,,,,,母牌,,法术牌,下回合无敌,,1
共存,,1003,1,10,,,,,母牌,,法术牌,转移当前回合受到的一半伤害,,1
苦修,2,2000,,120,2,10,7,,子牌,改变当前天气为沙暴,战斗牌,主动: 回复3点生命（不突破上限），并且造成本局游戏此卡回复过生命数值的50%的伤害（向下取整）,召唤条件:  己方收到单次收到大于等于血量6的伤害,1
变形水母,2,2,,10,3,3,3,,母牌,,战斗牌,主动:使自己的血量和血量上限翻倍，同时给予自己一层凋零,凋零：每回合结束时，扣一滴血,1
腐化,,1001,1,10,,,,,母牌,,法术牌,给一个目标4层腐败,腐败：反转治疗效果，每回合减少一层,1
甘雨,,1004,1,10,,,,,母牌,,法术牌,给场上的所有角色牌回复5点血量，将天气改为雨天,,1
寻血猎犬,2,2001,,120,4,4,3,,子牌,可以对场上的任意一张牌造成一点真实伤害,战斗牌,被动：攻击附加在场上敌我手牌中的血量不满的战斗牌数量的伤害。,召唤条件：首次击败一张卡牌,1
大狗,2,3,,10,1,6,6,,母牌,,战斗牌,主动：敌方下一次攻击或技能效果必须以你为目标,,1
尖啸,,1000,1,10,,,,mmexport1779716168195.jpg,母牌,,法术牌,对所有母牌产生一点伤害,,1
好朋友,,1002,1,10,,,,,母牌,,法术牌,选择两张我方战斗牌，平分血量和伤害。血量上限不变 ,,1
分界线,————————————-————————————-,————————————-,,————————————-————————————-————————————-,————————————-,————————————-,————————————-,,————————————-————————————-————————————-,,————————————-————————————-————————————-,————————————-————————————-————————————-————————————-————————————-,————————————-————————————-————————————-,————————————-
僧侣,2,4,,10,2,6,4,,母牌,,战斗牌,主动：这一回合内所有来源的伤害会变成回复,,1
神经毒素,2,5,,10,2,4,4,,母牌,,战斗牌,被动：击伤敌方一战战斗牌时，给予一层捆缚,捆缚:无法使用角色攻击或技能，每回合减少一层,1
拳击手,2,2002,,120,2,6,6,,子牌,获得一点行动点,战斗牌,主动：获得一层蓄能，如果蓄能达到3层，技能不再获得蓄能而是造成20点伤害。达到3层之前每回合都要获得蓄能，否则蓄能层数会清零,召唤条件：连续回合判定失败3回合,1
亡者复生,,3000,1,90,,,,,子牌,随机回复我方一张战斗牌2点生命,法术牌,使用效果：使用时，复活上一次自己死亡的母卡角色卡,召唤条件：击败战斗母牌之后，弃牌堆总牌数为2的倍数。,1
巨化药水,,3001,1,90,,,,,子牌,给场上的双方出战牌2层30%虚弱,法术牌,使用效果：给予指定一张出战的牌3层巨化,召唤条件：期间没有对敌方造成击杀，连续死亡两张角色牌；巨化：血量和血量上限翻倍，每回合掉一层,1
诅,,3002,1,90,,,,,子牌,给场上双方战斗牌3层30%易伤,法术牌,使用效果：选择敌方一个槽位和我方一个槽位，敌方槽位上的卡牌血量和我方一致，不会超过上限,召唤条件：双方累积造成过40点伤害，且最后一次伤害由你造成。,1
褪魔者,2,2003,,120,3,4,4,,子牌,指定一张牌获得40%增伤持续3回合,战斗牌,被动:所有人不能使用主动技能,召唤条件:  我方连续5回合没有使用过主动技能,1
缴械,,3003,1,90,,,,,子牌,随机回复我方一张战斗牌2点生命,法术牌,使用效果: 指定敌方一张出战牌给予4层缴械,召唤条件:我方连续4回合受到伤害;缴械：无法攻击，每回合掉一层,1
暴沙,2,2004,,120,3,4,4,,子牌,随机回复我方一张战斗牌2点生命,战斗牌,被动：不受到沙暴伤害影响，在沙暴中攻击附加2。血和血量上限提升2,召唤条件：沙暴持续4回合，给与沙暴造成者。若沙暴被中断，给予中断者,1
钩索,,3004,1,90,,,,,子牌,己方的出战牌受到4层禁锢,法术牌,"使用效果:指定敌方手牌中的战斗牌强制上场,给予这张牌5层禁锢",召唤条件: 连续7回合不上下牌; 禁锢:不能被卸下，除非死亡,1
不许动,,1006,1,10,,,,,母牌,,法术牌,指定一张牌上3层禁锢,禁锢：不能下牌,1
明阳,,1007,1,10,,,,,母牌,,法术牌,获得2两点能量，将天气改为晴天,,1
