名称,ID,伤害,初始生命上限,子牌/母牌,战斗牌/法术牌,文字描述,注释
挖掘死者,0,,,母,法,使用效果：使用时，从弃牌堆抽取一张加入自己的手牌,弃牌堆：所有人的死亡的战斗母卡和使用过的法术牌存放在此
亡者复生,1,,,母,法,使用效果：使用时，此卡变成可出战的角色母卡，数值继承为上一次自身死亡角色卡的值,
枯木逢春,2,,,母,法,使用效果：恢复上一次受击时损失的血量，并将当时敌方攻击值打出，如果敌方死亡，那么这次伤害会不衰减的打出至下一个敌方出战牌,受击：被普攻
巨化药水,3,,,母,法,使用效果：指定一张出战牌，给予10层巨化,巨化：生命值和攻击力翻倍，生命值超出上限的部分变成虚血。
诅,4,,,母,法,使用效果：单独使用：强制所有敌方血量变为当前敌方战斗牌血量（超过血量上线变为不可恢复的虚血）组合使用：废除所有卡牌技能且废除所有法术卡全部投入弃牌堆(咒牌是战斗牌，在同一回合打出，所有卡牌（包括手牌）),组合使用：当出战卡是咒
无敌,5,,,母,法,使用效果：指定一张出战牌10回合无敌,
纽带,6,0,2,母,战,主动：使用技能后获得一层闪避，连续闪避五回合或存活10回合可召唤英雄牌，召唤后本体死亡,闪避：免除下一次的受击伤害 ；英雄牌：特殊子牌；召唤：强制召唤
褪魔者,7,1,4,母,战,被动：敌人无法使用技能,被动：上场时自动触发
教皇,8,1,4,母,战,主动：废除一张敌方手牌，可使用两次,
咒,9,2,5,母,战,主动：所有敌方卡牌扣除两点血量,
守护者,10,2,5,母,战,"被动：获得一层缓冲,缓冲被消耗时，两回合后恢复一层缓冲",缓冲：免除下一次所有伤害;  被动：开局自动触发
苦修,11,1,5,母,战,主动：获得五回合毅力,毅力：不受到下一次的受击伤害，并恢复同等的血量
地狱使者,12,2,4,母,战,主动：指定敌方一张出战牌，交换生命和攻击的数值，不改变血量上限,
赌徒,13,0,1,母,战, 主动：猜拳连续胜利五回合，立刻清空敌方手牌,
龙息,14,1,5,母,战,被动：攻击时增加一层龙息,龙息：上限为7，获得闪避，攻击数值翻倍
故障机器人,15,1,9,母,战,主动：发动第一次攻击之后获得两层吸血,吸血：攻击时恢复1点生命
作弊者,16,2,3,母,战,特性：即使回合判定失败，也会在敌方回合结束之后发动攻击,
尤里,17,1,2,母,战,被动：死亡时杀死对方的所有出战卡；主动：自杀,
机器猫,18,2,3,母,战,主动：血量不足时可投喂，恢复至最大生命,
贸易大王,19,1,6,母,战,主动：选择和敌方交换一张牌库中的卡牌，可使用两次,
拳击手,20,2,5,母,战,主动：初始技能伤害为一，蓄力两回合为4，蓄力三回合技能效果为处决,蓄力：使用技能但不造成伤害；处决：无视所有效果秒杀
邪教徒,21,1,5,母,战,主动：可选择献祭场上我方任意的的卡牌，增加一点血量上限和攻击力，并恢复一点血量,
双头人,22,1,5,母,战,特性：可单独出战，也可套用叠加在已出战母卡上（两张卡合并数值突破原卡牌数值上限）,
耸肩无视,23,,,子,法,使用效果：指定任意一张战斗卡生命与攻击数值乘二（己方与敌方均可）且自该牌生效后凡在场战斗卡淘汰两张，在回合行动后（法术卡发动后）将从弃牌堆中抽取一张牌加入己方牌库,获得条件：一张战斗牌连续存活20回合；弃牌堆：所有人的死亡的战斗母卡和使用过的法术牌存放在此
触底反弹,24,,,子,法,使用效果：使用后从弃牌堆中抽取任意三张牌加入牌库，且每回合多增加一行动。,获得条件：被连续的击杀五张牌（凡拥有生命值的卡牌），并且牌库中存在余量法术卡（不包含正在使用的法术卡）至少两张。
孤注一掷,25,,,子,法,使用效果：在行动后将场上所有卡牌丢入弃牌堆，玩家同时抽取一张牌（如若为法术卡则将重新抽取）通过对比卡牌生命值上限大小来决定胜利。,获得条件：累积击杀五张战斗卡，其牌库中仅剩一张牌（累计击杀超过五张或者牌库牌数多于一时无效）。
小熊,26,7,10,子,战,技能条件：使用三次母卡战斗卡技能获得一次技能（英雄牌属于子卡战斗卡类别）技能效果：立即击杀敌方在场战斗卡（子卡和母卡）,获得条件：卡牌“纽带”触发
